point,encoder,dataset,kind,C,n_test,imbalance,method,acc,f1,ece,aurc,param
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,knn,0.6087,0.6054,0.2155,0.2567,lambda=0.8
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,gate,0.6164,0.6154,0.2479,0.2615,"c=0.7,lambda=0.2"
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,temp_gate,0.6069,0.6069,0.1253,0.3875,"T=3.75,c=0.6,lambda=0.0"
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,base,0.6893,0.6101,0.05,0.1758,
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,temp,0.6893,0.6101,0.0398,0.1756,T=0.896
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,logit_adj,0.6703,0.6193,0.0509,0.1854,tau=0.5
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,knn,0.7354,0.6735,0.0836,0.1316,lambda=0.7
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,gate,0.7434,0.6906,0.0784,0.1412,"c=0.8,lambda=0.6"
codebert/codechef,codebert,codechef,frozen_probe,4,1999,3.66,temp_gate,0.7424,0.6883,0.0648,0.1445,"T=0.90,c=0.8,lambda=0.6"
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,base,0.6798,0.6108,0.0207,0.1634,
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,temp,0.6798,0.6108,0.0263,0.1633,T=0.930
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,logit_adj,0.6668,0.6225,0.0371,0.1705,tau=0.5
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,knn,0.7564,0.7112,0.0731,0.1165,lambda=0.6
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,gate,0.7539,0.7092,0.0631,0.1336,"c=0.7,lambda=0.6"
graphcodebert/codechef,graphcodebert,codechef,frozen_probe,4,1999,3.66,temp_gate,0.7509,0.7061,0.051,0.1361,"T=0.93,c=0.7,lambda=0.6"
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,base,0.6593,0.6079,0.0634,0.2104,
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,temp,0.6593,0.6079,0.0426,0.2105,T=1.481
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,logit_adj,0.6593,0.6079,0.0634,0.2104,tau=0.0
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,knn,0.7099,0.6727,0.0354,0.1485,lambda=0.5
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,gate,0.7054,0.6701,0.0543,0.1871,"c=0.7,lambda=0.4"
unixcoder/codechef,unixcoder,codechef,frozen_probe,4,1999,3.66,temp_gate,0.7064,0.6688,0.0624,0.1745,"T=1.48,c=0.7,lambda=0.6"
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,base,0.6088,0.4923,0.0559,0.2676,
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,temp,0.6088,0.4923,0.0299,0.2681,T=0.858
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,logit_adj,0.5928,0.5292,0.0841,0.2679,tau=0.5
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,knn,0.7099,0.6661,0.0574,0.1757,lambda=0.1
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,gate,0.7114,0.6666,0.0319,0.1689,"c=0.9,lambda=0.2"
codet5p/codechef,codet5p,codechef,frozen_probe,4,1999,3.66,temp_gate,0.7114,0.6663,0.0381,0.1697,"T=0.86,c=0.9,lambda=0.2"
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,base,0.5685,0.5556,0.0524,0.3585,
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,temp,0.5685,0.5556,0.0307,0.3585,T=1.234
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,logit_adj,0.5685,0.5556,0.0524,0.3585,tau=0.0
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,knn,0.57,0.5604,0.0513,0.3472,lambda=0.8
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,gate,0.571,0.561,0.0563,0.3582,"c=0.6,lambda=0.8"
codebert/devign,codebert,devign,frozen_probe,2,2000,1.18,temp_gate,0.5645,0.5552,0.0459,0.3588,"T=1.23,c=0.6,lambda=0.8"
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,base,0.593,0.5827,0.0508,0.3454,
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,temp,0.593,0.5827,0.0254,0.3454,T=1.470
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,logit_adj,0.578,0.578,0.0477,0.3579,tau=1.5
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,knn,0.5855,0.5807,0.0716,0.326,lambda=0.6
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,gate,0.5855,0.5807,0.0717,0.3282,"c=0.9,lambda=0.6"
graphcodebert/devign,graphcodebert,devign,frozen_probe,2,2000,1.18,temp_gate,0.582,0.5779,0.0632,0.3321,"T=1.47,c=0.8,lambda=0.6"
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,base,0.561,0.5532,0.0933,0.3448,
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,temp,0.561,0.5532,0.0404,0.3448,T=1.732
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,logit_adj,0.5685,0.5684,0.0829,0.3582,tau=1.5
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,knn,0.589,0.5836,0.0993,0.3305,lambda=0.5
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,gate,0.582,0.5766,0.0907,0.3292,"c=0.8,lambda=0.6"
unixcoder/devign,unixcoder,devign,frozen_probe,2,2000,1.18,temp_gate,0.588,0.5827,0.0568,0.3331,"T=1.73,c=0.8,lambda=0.6"
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,base,0.581,0.5651,0.0302,0.3714,
codet5p/devign,codet5p,devign,frozen_probe,2,2000,1.18,temp,0.581,0.5651,0.0171,0.3714,T=1.328
